# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);30.575
# Site longitude (positive means East);78.465
# Site altitude (m);2166
# Date beginning;2010-01-01
# Date end;2020-08-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2010-01-01;24:00;279.72;27.23;801.20;0.37;334.09;0.000000;0.000000;0.000004;4264.8330
2010-01-02;24:00;280.60;25.17;803.47;0.07;335.33;0.000000;0.000000;0.000011;4232.1200
2010-01-03;24:00;279.56;48.87;802.13;0.31;266.80;1.579539;1.664193;0.003771;3690.8740
2010-01-04;24:00;278.54;51.63;798.35;0.80;329.89;0.000002;0.000420;0.004926;4208.6820
2010-01-05;24:00;279.83;34.36;798.21;0.53;332.49;0.000000;0.000000;0.002767;4380.2330
2010-01-06;24:00;280.13;31.29;800.40;0.56;324.61;0.000000;0.000000;0.002002;4349.9660
2010-01-07;24:00;280.69;31.23;802.69;0.15;246.68;0.000000;0.000000;0.001617;4341.6010
2010-01-08;24:00;279.66;35.07;801.38;0.41;146.63;0.000000;0.000000;0.001408;4384.4120
2010-01-09;24:00;279.79;32.35;801.03;0.12;213.28;0.000000;0.000000;0.001324;4430.7640
2010-01-10;24:00;279.47;29.99;801.68;0.50;300.60;0.000000;0.000000;0.000798;4488.7210
2010-01-11;24:00;279.60;25.27;801.48;0.64;311.82;0.000000;0.000000;0.000562;4537.3410
2010-01-12;24:00;279.29;24.72;801.61;0.19;174.45;0.000031;0.070035;0.000600;4548.2900
2010-01-13;24:00;275.56;65.85;801.35;0.86;121.40;5.190437;1.587384;0.006328;2772.8170
2010-01-14;24:00;278.74;50.30;804.47;0.94;300.44;0.000000;0.000151;0.005223;4414.8960
2010-01-15;24:00;279.89;34.57;805.89;0.60;299.88;0.000000;0.000002;0.003139;4396.0300
2010-01-16;24:00;281.11;27.71;805.68;0.70;289.59;0.000000;0.000000;0.002440;4630.0740
2010-01-17;24:00;280.07;29.57;805.52;0.35;282.70;0.000000;0.000101;0.001989;4218.3550
2010-01-18;24:00;279.10;29.61;804.26;0.27;308.18;0.000000;0.000017;0.001798;4125.7910
2010-01-19;24:00;279.44;28.64;803.01;0.89;302.84;0.000000;0.000007;0.001728;4612.2300
2010-01-20;24:00;279.13;32.39;804.17;0.85;345.42;0.000069;0.011767;0.001081;2958.0230
2010-01-21;24:00;279.30;32.75;802.22;0.78;305.97;0.000000;0.001694;0.000749;4630.0270
2010-01-22;24:00;279.34;35.63;802.59;0.64;345.96;0.003828;0.188008;0.000664;2721.4120
2010-01-23;24:00;280.08;34.46;802.25;0.59;322.23;0.000003;0.006869;0.000634;4126.4590
2010-01-24;24:00;280.23;34.31;801.42;0.44;256.25;0.000008;0.026844;0.000598;4659.1140
2010-01-25;24:00;278.99;40.34;802.48;0.62;292.88;0.000808;0.061473;0.000579;4516.1920
2010-01-26;24:00;279.99;34.25;802.79;0.57;275.16;0.000000;0.000164;0.000558;4750.9270
2010-01-27;24:00;280.13;34.59;802.69;0.74;284.59;0.000116;0.023018;0.000536;4125.6190
2010-01-28;24:00;279.67;35.54;802.75;0.19;271.73;0.000000;0.000211;0.000517;3495.6130
2010-01-29;24:00;279.03;47.76;802.85;0.51;271.84;0.024530;0.262610;0.000501;4307.3210
2010-01-30;24:00;279.72;31.55;801.33;1.04;288.77;0.000000;0.000006;0.000483;4879.7760
2010-01-31;24:00;279.21;31.75;801.03;0.46;198.83;0.000000;0.015129;0.000464;4255.3710
2010-02-01;24:00;278.07;33.91;800.59;0.59;215.17;0.000000;0.013376;0.000448;4826.3330
2010-02-02;24:00;277.09;36.62;800.40;0.40;273.40;0.000000;0.031688;0.000435;4827.2100
2010-02-03;24:00;277.71;29.36;800.67;0.60;287.16;0.000000;0.000037;0.000420;5130.4310
2010-02-04;24:00;278.80;26.78;800.83;1.04;289.43;0.000000;0.000481;0.000404;5081.0010
2010-02-05;24:00;280.29;31.75;801.49;0.94;300.65;0.000004;0.021310;0.000388;5009.5430
2010-02-06;24:00;281.26;47.89;802.64;1.32;297.85;0.166639;0.455408;0.000374;4188.8170
2010-02-07;24:00;280.48;66.64;803.13;0.90;24.96;4.800856;8.329111;0.000780;1986.3460
2010-02-08;24:00;276.71;89.45;798.46;2.77;92.25;50.871683;34.069165;0.014261;1170.3520
2010-02-09;24:00;275.24;90.55;797.56;2.16;147.97;8.710103;6.268072;0.037096;3216.0600
2010-02-10;24:00;276.95;57.87;801.50;1.21;112.69;0.054103;0.036140;0.027908;4633.1270
2010-02-11;24:00;279.47;45.65;802.95;1.14;129.41;0.001755;0.006412;0.019769;5301.1130
2010-02-12;24:00;277.46;57.82;802.17;0.20;59.38;0.317571;0.585925;0.016526;3914.2390
2010-02-13;24:00;278.12;40.79;800.37;0.68;272.70;0.000000;0.001251;0.014222;5409.3960
2010-02-14;24:00;277.42;38.69;799.14;0.60;140.42;0.000000;0.032285;0.010731;5531.0890
